Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Offensive,Strength,Chicago,49,Sam_Sustacek,4,10.44,0.962,Isolation,0.01,2,1
Offensive,Strength,GustavusAdolphus,308,Sam_DuBois,1.235294118,8.529411765,0.724,Off Screen,0.034,2,1
Offensive,Strength,GustavusAdolphus,308,Sam_DuBois,1.235294118,8.529411765,0.724,Transition,0.276,1.375,0.833
Offensive,Strength,GustavusAdolphus,308,Sam_DuBois,1.235294118,8.529411765,0.724,Spot Up,0.207,0.833,0.4
Offensive,Strength,Rose-Hulman,295,Ryuji_Aoki,9.740740741,15.2962963,1.004,Off Screen,0.189,1.02,0.372
Offensive,Strength,Rose-Hulman,295,Ryuji_Aoki,9.740740741,15.2962963,1.004,Spot Up,0.345,1.143,0.429
Offensive,Strength,Rose-Hulman,295,Ryuji_Aoki,9.740740741,15.2962963,1.004,Transition,0.091,1.167,0.471
Offensive,Strength,Albion,16,Ryan_Lowe,7.173913043,14.39130435,1.078,Transition,0.033,1.4,0.75
Offensive,Strength,Albion,16,Ryan_Lowe,7.173913043,14.39130435,1.078,Offensive Rebounds (put backs),0.248,1.342,0.742
Offensive,Strength,Albion,16,Ryan_Lowe,7.173913043,14.39130435,1.078,Cut,0.098,1.4,0.75
Offensive,Strength,Chicago,47,Ryan_Jacobsen,7.272727273,20.86363636,0.907,Transition,0.14,1,0.579
Offensive,Strength,Chicago,47,Ryan_Jacobsen,7.272727273,20.86363636,0.907,P&R Roll Man,0.064,0.909,0.429
Offensive,Strength,Chicago,47,Ryan_Jacobsen,7.272727273,20.86363636,0.907,Cut,0.174,1.567,0.826
Offensive,Strength,Chicago,47,Ryan_Jacobsen,7.272727273,20.86363636,0.907,Post-Up,0.209,0.944,0.565
Offensive,Strength,DominicanIL,79,Rory_Cunningham,1.833333333,7.25,0.629,P&R Roll Man,0.143,1,0.5
Offensive,Strength,DominicanIL,79,Rory_Cunningham,1.833333333,7.25,0.629,Transition,0.057,1.5,0.5
Offensive,Strength,DominicanIL,79,Rory_Cunningham,1.833333333,7.25,0.629,Offensive Rebounds (put backs),0.086,0.667,0.5
Offensive,Strength,Wabash,196,Ronald_Ryan,0.5,4.333333333,0.429,Spot Up,0.286,1,0
Offensive,Strength,Wabash,196,Ronald_Ryan,0.5,4.333333333,0.429,Hand Off,0.286,0.5,
Offensive,Strength,EastWest,96,Roland_Watkins,1.25,4.916666667,0.591,Offensive Rebounds (put backs),0.091,1.5,1
Offensive,Strength,EastWest,96,Roland_Watkins,1.25,4.916666667,0.591,Miscellaneous,0.318,1.143,1
Offensive,Strength,Kalamazoo,227,Roger_Hood,7.6,20.92,0.789,Spot Up,0.393,0.832,0.368
