team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Format,Type,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,1,Adam_Davis,3,11.61111111,0.841,Cut,0.217,0.533,0.273
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,1,Adam_Davis,3,11.61111111,0.841,P&R Ball Handler,0.014,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,1,Adam_Davis,3,11.61111111,0.841,Spot Up,0.319,0.818,0.333
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,32,Tj_Best,1.25,7.6875,0.667,Transition,0.167,1.2,1
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,32,Tj_Best,1.25,7.6875,0.667,Miscellaneous,0.1,1,
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,31,Steve_Leazer,3.04,16.48,0.685,Transition,0.099,0.909,0.375
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,31,Steve_Leazer,3.04,16.48,0.685,P&R Roll Man,0.099,0.909,0.4
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,31,Steve_Leazer,3.04,16.48,0.685,Miscellaneous,0.099,0.727,
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,31,Steve_Leazer,3.04,16.48,0.685,Cut,0.09,1.2,0.667
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,30,Sean_Johnson,3.826086957,15.7826087,0.906,Transition,0.073,1.143,0.8
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,30,Sean_Johnson,3.826086957,15.7826087,0.906,Cut,0.271,1.038,0.563
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,30,Sean_Johnson,3.826086957,15.7826087,0.906,Spot Up,0.021,1,1
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,30,Sean_Johnson,3.826086957,15.7826087,0.906,Offensive Rebounds (put backs),0.219,1.286,0.647
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,29,Mike_Canady,1.789473684,8.421052632,0.791,Spot Up,0.442,0.947,0.375
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,29,Mike_Canady,1.789473684,8.421052632,0.791,Transition,0.116,1.4,0.75
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,29,Mike_Canady,1.789473684,8.421052632,0.791,Offensive Rebounds (put backs),0.023,2,1
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,28,Kienan_Baltimore,16.69230769,27.46153846,0.959,Transition,0.11,1.125,0.556
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,28,Kienan_Baltimore,16.69230769,27.46153846,0.959,Post-Up,0.251,1,0.5
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,28,Kienan_Baltimore,16.69230769,27.46153846,0.959,Cut,0.087,1,0.5
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,28,Kienan_Baltimore,16.69230769,27.46153846,0.959,Offensive Rebounds (put backs),0.041,1.444,0.4
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,28,Kienan_Baltimore,16.69230769,27.46153846,0.959,P&R Roll Man,0.05,1.091,0.4
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,28,Kienan_Baltimore,16.69230769,27.46153846,0.959,Spot Up,0.224,1.122,0.429
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,27,Kamal_Shasi,5,26.38888889,0.776,P&R Ball Handler,0.172,0.85,0.438
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,27,Kamal_Shasi,5,26.38888889,0.776,Offensive Rebounds (put backs),0.043,0.8,0.25
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,27,Kamal_Shasi,5,26.38888889,0.776,Spot Up,0.353,1.098,0.417
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,27,Kamal_Shasi,5,26.38888889,0.776,Post-Up,0.009,2,
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,26,Jordan_Vedder,2.583333333,8.583333333,0.721,Off Screen,0.093,1.5,0.5
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,26,Jordan_Vedder,2.583333333,8.583333333,0.721,Transition,0.047,1,0.5
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,26,Jordan_Vedder,2.583333333,8.583333333,0.721,Post-Up,0.047,1,0.5
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,26,Jordan_Vedder,2.583333333,8.583333333,0.721,Spot Up,0.419,1,0.333
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,26,Jordan_Vedder,2.583333333,8.583333333,0.721,Isolation,0.023,3,1
Carthage,25,80.44,80.44,0.976404392,0.967251566,Offensive,Strength,25,Jordan_Thomas,17.75,33.91666667,1.076,Spot Up,0.277,1.138,0.412
