Team_Cumulative_ID,Team_ID,Player_ID,GP,Min,SST,SSTexPts ,Pts , Ast ,Turnover,Ast_To_Ratio,Stl,  StlPos ,  Blk,  TtlReb ,  OffReb ,  DefReb,Field_Goals_Attempt,Field_Goals_Made,Field_Goals_Missed,Field_Goal_Percentage,Adjusted_Field_Goal_Percentage,Two_Field_Goals_Attempt,Two_Field_Goals_Made,Two_Field_Goals_Missed,Two_Field_Goal_Percentage,Three_Field_Goals_Attempt,Three_Field_Goals_Made,Three_Field_Goals_Missed,Three_Field_Goal_Percentage,Free_Throw_Attempts,Free_Throw_Made,Free_Throw_Missed,Free_Throw_Percentage,And_One,Personal_Fouls_Taken,Total_Personal_Fouls_Commited
488,26,425,10,14,0.81,0.5,4,1,0,-,1,0,0,2,1,1,4,2,2,0.5,0.5,4,2,2,0.5,0,0,0,-,0,0,0,-,0,0,2
489,26,409,3,10,0.13,0.4,0,0,1,0,0,1,0,4,2,2,3,0,3,0,0,3,0,3,0,0,0,0,-,0,0,0,-,0,1,2
490,27,445,25,398,0.95,0.28,156,15,37,0.41,25,16,1,93,11,82,114,57,57,0.5,0.579,69,39,30,0.565,45,18,27,0.4,28,24,4,0.857,2,23,45
491,27,439,7,14,0.94,0.5,5,4,2,2,0,2,0,3,0,3,4,2,2,0.5,0.625,1,1,0,1,3,1,2,0.333,0,0,0,-,0,0,1
492,27,433,26,369,0.6,0.35,67,39,17,2.29,15,9,3,44,4,40,65,28,37,0.431,0.446,51,26,25,0.51,14,2,12,0.143,15,9,6,0.6,2,10,20
493,27,435,24,634,1.13,0.45,257,82,30,2.73,33,17,2,97,13,84,193,83,110,0.43,0.56,62,33,29,0.532,131,50,81,0.382,45,41,4,0.911,6,42,29
494,27,432,26,254,1.18,0.3,109,6,27,0.22,15,9,8,56,16,40,70,39,31,0.557,0.557,70,39,31,0.557,0,0,0,-,48,31,17,0.646,4,36,41
496,27,436,7,12,1.36,0.42,7,0,2,0,1,2,0,5,2,3,5,3,2,0.6,0.6,5,3,2,0.6,0,0,0,-,2,1,1,0.5,0,1,3
498,27,443,21,201,0.46,0.19,33,12,13,0.92,7,4,1,19,5,14,29,11,18,0.379,0.466,14,6,8,0.429,15,5,10,0.333,7,6,1,0.857,0,6,21
499,27,431,27,289,1.04,0.29,127,12,16,0.75,2,5,8,53,19,34,95,53,42,0.558,0.558,95,53,42,0.558,0,0,0,-,29,21,8,0.724,2,24,37
